name,pos,weight
balmer,4340.0,0.5041529999999999
balmer,4101.3,0.3051369999999999
balmer,3969.653333,0.2091659999999999
balmer,3888.64,0.154004
balmer,3834.981818,0.115759
balmer,3797.5,0.087604
balmer,3770.235897,0.0670049999999999
balmer,3749.76,0.0519739999999999
balmer,3733.978182,0.040952
balmer,3721.55,0.032759
balmer,3711.58371,0.026587
balmer,3703.466667,0.02185
balmer,3696.766316,0.018169
balmer,3691.17,0.0152669999999999
balmer,3686.447059,0.0129599999999999
balmer,3682.424242,0.011084
balmer,3678.969336,0.009558
balmer,3675.98,0.008299
balmer,3673.376,0.0072519999999999
balmer,3671.093706,0.006374
balmer,3669.082126,0.0016329999999999
balmer,3667.3,0.001003
balmer,3665.713655,0.0044619999999999
balmer,3664.295385,0.0039979999999999
balmer,3663.022222,0.0035959999999999
balmer,3661.875,0.003245
balmer,3660.837618,0.0029399999999999
balmer,3659.896471,0.002671
balmer,3659.04,0.002434
balmer,3658.258333,0.0022239999999999
balmer,3657.542998,0.0020379999999999
balmer,3656.886687,0.001872
balmer,3656.283077,0.001724
balmer,3655.726667,0.00159
balmer,3655.212657,0.001471
balmer,3654.736842,0.001363
balmer,3654.295528,0.001265
balmer,3653.885455,0.001177
balmer,3653.50374,0.001096
balmer,3653.147826,0.001023
balmer,3652.815438,0.000956
balmer,3652.504545,0.0008949999999999
balmer,3652.213333,0.000839
balmer,3651.940174,0.000787
balmer,3651.683605,0.0007399999999999
balmer,3651.442308,0.000696
balmer,3650.682477,0.0006961848
balmer,3650.468303,0.0006960774999999
balmer,3650.26616,0.0006959763
balmer,3650.075164,0.0006958806
balmer,3649.894509,0.0006957902
balmer,3649.723461,0.0006957044999999
balmer,3649.561352,0.0006956233
balmer,3649.407569,0.0006955463
balmer,3649.26155,0.0006954732
balmer,3649.122783,0.0006954036999999
balmer,3648.990793,0.0006953377
balmer,3648.865148,0.0006952746999999
balmer,3648.745446,0.0006952148
balmer,3648.631318,0.0006951576999999
balmer,3648.522424,0.0006951032
balmer,3648.418448,0.0006950510999999
balmer,3648.319099,0.0006950014
balmer,3648.224105,0.0006949537999999
balmer,3648.133216,0.0006949083
balmer,3648.046199,0.0006948647
balmer,3647.962836,0.000694823
balmer,3647.882926,0.000694783
balmer,3647.806281,0.0006947445999999
balmer,3647.732725,0.0006947077999999
balmer,3647.662095,0.0006946724999999
balmer,3647.594237,0.0006946384999999
balmer,3647.529007,0.0006946058
balmer,3647.466273,0.0006945744
balmer,3647.405908,0.0006945442
